FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
H,0.8695652174,1,D,D,W,W,L,D,-0.3043478261,-0.5217391304,-0.04347826087,-4
H,1.347826087,0.9130434783,L,D,W,D,D,W,-0.2173913043,-0.6956521739,0.04347826087,-3
NH,1.173913043,1.347826087,L,W,W,W,W,L,-0.2608695652,-0.2173913043,-0.08695652174,-3
NH,1.260869565,1.695652174,L,L,W,W,D,W,0.2173913043,0.3043478261,-0.2608695652,2
H,1.608695652,1.52173913,L,W,D,L,L,L,0.3043478261,-0.04347826087,0.04347826087,10
H,1.347826087,1.608695652,D,W,D,L,W,D,0.4782608696,0.3043478261,0.04347826087,-13
NH,0.9130434783,1,D,D,W,D,L,L,-0.6956521739,-0.5217391304,0.1739130435,1
NH,1,0.8695652174,W,L,D,D,L,D,-0.5217391304,-0.4782608696,0.3043478261,-2
NH,1.260869565,1.347826087,L,W,D,L,D,W,0.04347826087,-0.2173913043,-0.1304347826,-8
NH,1.52173913,1.695652174,L,L,L,L,D,W,-0.04347826087,0.6956521739,0.04347826087,6
NH,1.666666667,0.9583333333,D,W,W,W,D,D,0.6666666667,-0.125,0.04166666667,-8
H,2.208333333,1.208333333,W,W,D,L,L,L,1.583333333,-0.08333333333,0.5416666667,-5
NH,1.25,1.166666667,D,W,L,D,L,W,-0.1666666667,-0.25,-0.125,-5
NH,1.75,0.6666666667,W,W,D,D,L,W,0.375,-1.041666667,0.375,-10
NH,1.333333333,1.25,D,W,W,D,L,L,-0.2083333333,0.2083333333,0.25,9
NH,1.208333333,1.333333333,L,L,L,W,L,W,-0.08333333333,0.08333333333,-0.2916666667,3
H,1.666666667,0.6666666667,D,L,D,D,L,W,0.6666666667,-1.041666667,0.04166666667,-15
H,1.333333333,0.9583333333,D,W,W,L,W,L,-0.2083333333,-0.6666666667,0.125,2
H,1.416666667,1.416666667,W,D,W,W,L,D,0.5833333333,-0.125,0.1666666667,-6
NH,1.083333333,0.9583333333,W,D,L,W,D,D,-0.4166666667,-0.125,-0.2083333333,1
H,1.4,0.84,W,W,L,L,L,D,0.12,-0.8,0.2,-11
NH,0.84,1.64,D,L,D,D,D,W,-0.6,0.64,-0.2,14
H,1.16,1.44,D,D,L,L,D,L,-0.24,-0.08,0.28,7
NH,1.72,2.24,D,W,W,W,W,W,0.36,1.6,-0.08,6
NH,1.24,1.24,D,D,L,D,D,W,0.2,-0.16,0,-1
NH,0.64,1.28,L,D,L,W,L,L,-1.08,0.04,0.04,11
NH,0.84,1.64,L,L,D,D,D,L,-0.8,0.64,-0.04,12
H,0.96,1.72,D,L,W,D,W,W,-0.64,0.36,-0.24,9
NH,1.6,1.4,L,W,L,W,W,L,0.24,0.12,-0.12,15
H,1.44,1.48,L,D,L,W,W,D,-0.08,0.64,-0.4,3
H,1.692307692,1.192307692,W,D,D,L,D,D,0.7307692308,0.07692307692,0.3461538462,-5
H,2.269230769,1.038461538,W,W,W,L,D,W,1.576923077,-0.4230769231,0.3076923077,-12
NH,0.9615384615,0.8461538462,D,D,W,D,D,L,-0.1153846154,-0.5769230769,0.1538461538,-6
NH,1.230769231,1.384615385,D,D,D,W,D,D,-0.1538461538,-0.1538461538,-0.1923076923,-8
NH,1.038461538,1.461538462,L,D,W,W,W,W,-0.4230769231,0.1538461538,-0.2692307692,10
H,1.692307692,1.538461538,W,D,D,L,L,W,0.6923076923,0.1923076923,0,-16
NH,1.269230769,0.9615384615,D,W,L,D,D,W,0.03846153846,-0.1153846154,-0.1153846154,-6
NH,1.423076923,2.269230769,L,W,W,W,W,W,0.5769230769,1.576923077,-0.1153846154,4
H,1.038461538,1.5,L,D,W,W,L,D,-0.4230769231,-0.03846153846,0.03846153846,5
NH,1.461538462,0.9230769231,W,W,W,L,D,L,0.1538461538,-0.6538461538,0.3076923077,-13
NH,0.8518518519,1.222222222,D,D,D,D,D,D,-0.5555555556,-0.1481481481,-0.1111111111,8
H,1.296296296,0.5925925926,W,W,D,L,L,L,-0.1111111111,-1.185185185,0.2592592593,-2
NH,1.592592593,1.666666667,L,L,D,D,W,D,0.2592592593,0.7037037037,-0.07407407407,3
H,1.37037037,1.37037037,D,W,D,L,L,W,-0.1481481481,-0.1851851852,0.1111111111,7
NH,1.185185185,0.7777777778,D,L,D,L,L,L,0.07407407407,-0.8148148148,0.07407407407,-5
NH,0.5925925926,1.185185185,L,L,L,D,L,D,-1.185185185,0.07407407407,-0.07407407407,8
NH,0.7777777778,1.37037037,L,L,L,D,W,D,-0.8148148148,-0.1481481481,-0.2962962963,-4
H,1,1.222222222,W,L,D,L,D,W,-0.5925925926,0,0.1111111111,10
H,1.481481481,1.037037037,L,L,L,D,L,D,0.1481481481,-0.4074074074,-0.1111111111,5
